Cache,Popularidade,Clustering Coefficient,Densidade,Indegree
200000,81,0.7735431088622781,0.6904761904761905,16
18000,61,0.5827915643692277,0.3357142857142857,5
8000,47,0.5928016083465028,0.3380952380952381,9
15000,53,0.655661404297786,0.5547619047619048,17
25000,73,0.5820051463604294,0.4857142857142857,0
33000,72,0.7685476915505806,0.7047619047619048,14
23000,71,0.7824597229055106,0.7261904761904762,18
25000,41,0.6294329251222707,0.430952380952381,2
30000,55,0.6979374733852725,0.6333333333333333,3
16000,63,0.7762182731745672,0.7309523809523809,20
12000,73,0.6520408541739355,0.6095238095238096,10
7000,64,0.6877215534886506,0.5880952380952381,18
12000,55,0.6892006675926388,0.6047619047619047,15
9000,59,0.647452012779055,0.5880952380952381,12
7000,66,0.7538557462070887,0.7,19
40000,52,0.686094410523833,0.5,18
35000,44,0.6859845597963753,0.42142857142857143,14
60000,78,0.765973958760951,0.6952380952380952,14
37000,51,0.7405410676133248,0.49047619047619045,18
12000,58,0.670223085443754,0.5928571428571429,14
11000,57,0.6489047935470951,0.5714285714285714,5
8000,42,0.6755983302548041,0.46190476190476193,12
7000,63,0.6801231208056616,0.6142857142857143,8
17000,68,0.7709771213747029,0.7071428571428572,20
30000,44,0.740313404263925,0.5190476190476191,16
150000,64,0.8089230659211556,0.6904761904761905,15
90000,57,0.7666777264713538,0.65,11
90000,48,0.6525690304074114,0.36666666666666664,6
50000,67,0.730452299696947,0.6261904761904762,13
120000,54,0.7401780382096338,0.6928571428571428,13
20000,44,0.6156862560383775,0.2833333333333333,1
100000,72,0.7881453687478809,0.6976190476190476,19
92000,68,0.7470641506157527,0.6904761904761905,6
90000,67,0.8117335222192933,0.7452380952380953,20
120000,72,0.722132799323368,0.6357142857142857,6
33000,73,0.7914111376237465,0.7214285714285714,16
15000,53,0.6273512049123483,0.3,3
80000,51,0.6342828403565017,0.36666666666666664,12
80000,69,0.7513577264916748,0.5571428571428572,7
40000,66,0.7023227628508412,0.5952380952380952,17
145000,59,0.6811170137627902,0.5166666666666667,1
270000,67,0.5698221176437143,0.26904761904761904,2
300000,72,0.5965225973566985,0.37857142857142856,0
190000,71,0.8000075309610762,0.6952380952380952,19
18000,73,0.6722637596781617,0.44285714285714284,11
120000,57,0.7113188854020001,0.4880952380952381,11
140000,77,0.7431101206001626,0.680952380952381,7
80000,44,0.741329687599966,0.6523809523809524,16
35000,69,0.5129714936179627,0.18095238095238095,1
75000,22,0.6379523277082824,0.5238095238095238,8
75000,75,0.7394315228922694,0.6476190476190476,18
37000,50,0.787183897040406,0.6214285714285714,19
230000,64,0.7820191268958061,0.6190476190476191,5
300000,75,0.8300716794545482,0.5595238095238095,4
550000,80,0.7452026718774046,0.5047619047619047,4
45000,57,0.6047969098554892,0.3380952380952381,4
350000,84,0.7930266378635118,0.6952380952380952,14
105000,50,0.6125028144485537,0.35714285714285715,7
250000,68,0.7391250712363902,0.5976190476190476,11
