Dj Gui Boratto;Eletronico;60000;27LGatz1m8aJ7ZaVVWEphc;;;;;;;;;;;
DJ Henrique de Ferraz;Funk;8000;5crFHCCb7j1zkIiIUpN2In;;;;;;;;;;;
Dj Mandraks;Eletronico;13000;4mHeIWRW0Fy8msSPiXAtUq;;;;;;;;;;;
DJ Marina Diniz;Eletronico;15000;7si2hPcnjzQsHJHIa8pNqy;;;;;;;;;;;
DJ Tezinho;Funk;6000;1vQmEkUObXvubDjIJb4Urv;;;;;;;;;;;
Dj Tubarão;Funk;13000;6WgSSUiDOHZci4BgmTO4JA;;;;;;;;;;;
DJ Vintage Culture;Eletronico;300000;28uJnu5EsrGml2tBd7y8ts;;;;;;;;;;;
ExaltaSamba;Samba;28000;6VPRGmbZ0dupZrbwwEDRRw;;;;;;;;;;;
Falamansa;Pop Rock;58000;6uTK3YD9CT3pLx2yEfVmXk;;;;;;;;;;;
Fernando e Sorocaba;Sertanejo;280000;1oSgjdbgLYULVmEBojPRw8;;;;;;;;;;;
Gabriel Diniz;Sertanejo;150000;3WQ1s2QFvL6crxBvrVhwzj;;;;;;;;;;;
Gabriel O Pensador;Hip Hop;40000;5BWqFYIPTnFx3OPWOoJvmD;;;;;;;;;;;
Groove Delight;Eletronico;28000;1DX1cbeKQkRJClf4TMmXIn;;;;;;;;;;;
Grupo Revelação;Samba;45000;7yQrcdkLdBAkV7yY9fF2Hw;;;;;;;;;;;
Guilherme & Santiago;Sertanejo;190000;61rqgwKmF0QwycnC8O82rn;;;;;;;;;;;
Gustavo Lima;Sertanejo;510000;7MiDcPa6UiV3In7lIM71IN;;;;;;;;;;;
Henrique e Diego;Sertanejo;105000;1D6vAeVUcgMbSx80IA3Zun;;;;;;;;;;;
Henrique e Juliano;Sertanejo;450000;3p7PcrEHaaKLJnPUGOtRlT;;;;;;;;;;;
Humberto & Ronaldo;Sertanejo;100000;1zEo6Fk1iaaOYFlFPBHCFn;;;;;;;;;;;
Inimigos da HP;Pop Rock;55000;5IEFDMhrxPABOkcu6Vx93O;;;;;;;;;;;
Ivete Sangalo;Axe;500000;7dzq55YG3wjViqexDwiycQ;;;;;;;;;;;
Jammil e uma noites;Axe;80000;3X5t1UTHfMkyDseHIzwC9Z;;;;;;;;;;;
JETLAG;Eletronico;75000;3iYbE4bdwzefh8zkoo5UEd;;;;;;;;;;;
João Bosco e Vinicius;Sertanejo;110000;7zIRO89G0FBAQtGMHO1Wa0;;;;;;;;;;;
João Lucas e Marcelo;Sertanejo;155000;07qXCavgZGcwnfNHSvSPtG;;;;;;;;;;;
João Neto e Frederico;Sertanejo;120000;2FrLTuXGuFDzQsjKidB03W;;;;;;;;;;;
Jorge Bem Jor;Pop Rock;220000;5JYtpnUKxAzXfHEYpOeeit;;;;;;;;;;;
Jorge e Matheus;Sertanejo;450000;1elUiq4X7pxej6FRlrEzjM;;;;;;;;;;;
Jota Quest;Pop Rock;130000;5re6NsyXzHg6uvNimzQ3F6;;;;;;;;;;;
Karol Conka;Hip Hop;50000;6ODCVWBfGNFUf1bpo0c2Ge;;;;;;;;;;;
Latino;Pop Rock;77000;06EMbW4WO6U4fGNnKjeuI5;;;;;;;;;;;
Leo Santana;Axe;220000;7KVJCU4z5L4EUHILL8aMxR;;;;;;;;;;;
Luan Santana;Sertanejo;350000;3qvcCP2J0fWi0m0uQDUf6r;;;;;;;;;;;
